WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL
1,Auckland,ASB Classic,12/29/24,WTA250,Outdoor,Hard,1st Round,3,Hibino N.,Niemeier J.,145,89,496,816,6,3,6,4,,,2,0,Completed,1.91,1.91,1.86,2.01,1.91,2.01,1.84,1.95
1,Auckland,ASB Classic,12/29/24,WTA250,Outdoor,Hard,1st Round,3,Tauson C.,Stefanini L.,50,146,1070,494,6,2,6,3,,,2,0,Completed,1.5,2.63,1.52,2.67,1.53,2.67,1.5,2.56
1,Auckland,ASB Classic,12/30/24,WTA250,Outdoor,Hard,1st Round,3,Marino R.,Sun L.,102,40,756,1300,6,3,3,6,6,3,2,1,Completed,1.91,1.91,2.04,1.84,2.04,1.91,1.94,1.84
1,Auckland,ASB Classic,12/30/24,WTA250,Outdoor,Hard,1st Round,3,Pera B.,Jimenez Kasintseva V.,71,156,896,465,6,2,7,5,,,2,0,Completed,1.57,2.38,1.63,2.39,1.63,2.44,1.59,2.32
1,Auckland,ASB Classic,12/30/24,WTA250,Outdoor,Hard,1st Round,3,Osaka N.,Glushko L.,57,220,1014,323,6,4,6,4,,,2,0,Completed,1.06,10,1.08,9.69,1.08,13,1.06,8.96
1,Auckland,ASB Classic,12/30/24,WTA250,Outdoor,Hard,1st Round,3,Grabher J.,Romero Gormaz L.,470,158,112,459,2,6,6,3,7,6,2,1,Completed,2.5,1.53,2.63,1.53,2.63,1.54,2.5,1.51
1,Auckland,ASB Classic,12/30/24,WTA250,Outdoor,Hard,1st Round,3,Li A.,Stephens S.,96,74,787,882,5,7,6,4,6,4,2,1,Completed,1.67,2.2,1.59,2.47,1.68,2.47,1.61,2.29
1,Auckland,ASB Classic,12/30/24,WTA250,Outdoor,Hard,1st Round,3,Volynets K.,Andreeva E.,58,83,991,838,6,4,6,7,6,2,2,1,Completed,2.1,1.73,2.03,1.85,2.1,1.91,1.99,1.8
1,Auckland,ASB Classic,12/30/24,WTA250,Outdoor,Hard,1st Round,3,Cristian J.,Starodubtseva Y.,85,101,832,762,6,3,2,0,,,1,0,Retired,2.3,1.62,2.32,1.66,2.33,1.73,2.26,1.62
1,Auckland,ASB Classic,12/30/24,WTA250,Outdoor,Hard,1st Round,3,Kenin S.,Wang Xiy.,81,98,848,774,7,6,6,1,,,2,0,Completed,1.8,2,1.84,2.04,2,2.12,1.85,1.93
1,Auckland,ASB Classic,12/31/24,WTA250,Outdoor,Hard,1st Round,3,Baptiste H.,Jamrichova R.,92,372,805,164,6,0,6,2,,,2,0,Completed,1.4,3,1.41,3.09,1.44,3.09,1.4,2.89
1,Auckland,ASB Classic,12/31/24,WTA250,Outdoor,Hard,1st Round,3,Keys M.,Bronzetti L.,21,73,2126,887,6,4,6,4,,,2,0,Completed,1.2,4.5,1.22,4.64,1.22,6,1.19,4.57
1,Auckland,ASB Classic,12/31/24,WTA250,Outdoor,Hard,1st Round,3,Minnen G.,Friedsam A.L.,95,528,791,91,6,4,6,0,,,2,0,Completed,1.5,2.63,1.57,2.51,1.57,2.63,1.52,2.48
1,Auckland,ASB Classic,12/31/24,WTA250,Outdoor,Hard,1st Round,3,Burrage J.,Yang V.,179,1139,398,11,6,3,6,3,,,2,0,Completed,1.13,6,,,1.14,6,1.12,5.71
1,Auckland,ASB Classic,12/31/24,WTA250,Outdoor,Hard,1st Round,3,Montgomery R.,Hontama M.,117,157,639,459,6,0,2,6,6,0,2,1,Completed,1.44,2.75,1.52,2.62,1.52,3.05,1.45,2.69
1,Auckland,ASB Classic,12/31/24,WTA250,Outdoor,Hard,1st Round,3,Parks A.,Anisimova A.,82,36,841,1461,2,6,6,2,6,3,2,1,Completed,3.4,1.33,3.39,1.35,3.4,1.39,3.17,1.34
